,constituency_id,constituency_name,con_share,lib_share,lab_share,election,winner,borough_name,code,median_salary,mean_salary,recycling_pct,population_size,number_of_jobs,area_size,no_of_houses,borough_flag,year,OBJECTID,PCON21NM,BNG_E,BNG_N,LONG,LAT,GlobalID,Shape__Are,Shape__Len,geometry
10,E14000540,Barking,0.163,0.013,0.577,2015,lab,Barking and Dagenham,E09000002,28201.0,33568.0,30.0,187029.0,54000.0,3780.0,71079.0,1.0,2011,11,Barking,546096,184534,0.105303,51.5408,81ebc553-e9cb-423e-bbed-97e4540266c2,20200872.8770294,22085.4279735662,"POLYGON ((548723.8941 181852.6916, 547681.5999 182202.699899999, 545680.9167 181644.933499999, 545680.3791 181644.532099999, 545263.2557 182828.966800001, 543874.6702 183187.502900001, 543523.1017 184859.7609, 545408.801 185159.098099999, 547678.3984 187442.475400001, 548981.1964 186873.7973, 548252.3 185896.497, 549604.1025 185773.202299999, 549988.8995 184978.799699999, 548518.6979 184638.997, 549104.897 183684.100299999, 548723.8941 181852.6916))"
11,E14000540,Barking,0.163,0.013,0.577,2015,lab,Barking and Dagenham,E09000002,33131.0,37059.0,27.0,190560.0,55000.0,3780.0,71431.0,1.0,2012,11,Barking,546096,184534,0.105303,51.5408,81ebc553-e9cb-423e-bbed-97e4540266c2,20200872.8770294,22085.4279735662,"POLYGON ((548723.8941 181852.6916, 547681.5999 182202.699899999, 545680.9167 181644.933499999, 545680.3791 181644.532099999, 545263.2557 182828.966800001, 543874.6702 183187.502900001, 543523.1017 184859.7609, 545408.801 185159.098099999, 547678.3984 187442.475400001, 548981.1964 186873.7973, 548252.3 185896.497, 549604.1025 185773.202299999, 549988.8995 184978.799699999, 548518.6979 184638.997, 549104.897 183684.100299999, 548723.8941 181852.6916))"
12,E14000540,Barking,0.163,0.013,0.577,2015,lab,Barking and Dagenham,E09000002,32248.0,37214.0,25.0,194352.0,54000.0,3780.0,71937.0,1.0,2013,11,Barking,546096,184534,0.105303,51.5408,81ebc553-e9cb-423e-bbed-97e4540266c2,20200872.8770294,22085.4279735662,"POLYGON ((548723.8941 181852.6916, 547681.5999 182202.699899999, 545680.9167 181644.933499999, 545680.3791 181644.532099999, 545263.2557 182828.966800001, 543874.6702 183187.502900001, 543523.1017 184859.7609, 545408.801 185159.098099999, 547678.3984 187442.475400001, 548981.1964 186873.7973, 548252.3 185896.497, 549604.1025 185773.202299999, 549988.8995 184978.799699999, 548518.6979 184638.997, 549104.897 183684.100299999, 548723.8941 181852.6916))"
13,E14000540,Barking,0.163,0.013,0.577,2015,lab,Barking and Dagenham,E09000002,32698.0,36323.0,23.0,198294.0,59000.0,3780.0,72668.0,1.0,2014,11,Barking,546096,184534,0.105303,51.5408,81ebc553-e9cb-423e-bbed-97e4540266c2,20200872.8770294,22085.4279735662,"POLYGON ((548723.8941 181852.6916, 547681.5999 182202.699899999, 545680.9167 181644.933499999, 545680.3791 181644.532099999, 545263.2557 182828.966800001, 543874.6702 183187.502900001, 543523.1017 184859.7609, 545408.801 185159.098099999, 547678.3984 187442.475400001, 548981.1964 186873.7973, 548252.3 185896.497, 549604.1025 185773.202299999, 549988.8995 184978.799699999, 548518.6979 184638.997, 549104.897 183684.100299999, 548723.8941 181852.6916))"
14,E14000540,Barking,0.163,0.013,0.577,2015,lab,Barking and Dagenham,E09000002,33018.0,36705.0,19.0,201979.0,62000.0,3780.0,73182.0,1.0,2015,11,Barking,546096,184534,0.105303,51.5408,81ebc553-e9cb-423e-bbed-97e4540266c2,20200872.8770294,22085.4279735662,"POLYGON ((548723.8941 181852.6916, 547681.5999 182202.699899999, 545680.9167 181644.933499999, 545680.3791 181644.532099999, 545263.2557 182828.966800001, 543874.6702 183187.502900001, 543523.1017 184859.7609, 545408.801 185159.098099999, 547678.3984 187442.475400001, 548981.1964 186873.7973, 548252.3 185896.497, 549604.1025 185773.202299999, 549988.8995 184978.799699999, 548518.6979 184638.997, 549104.897 183684.100299999, 548723.8941 181852.6916))"
15,E14000540,Barking,0.225,0.013,0.678,2017,lab,Barking and Dagenham,E09000002,30994.0,37959.0,25.0,206460.0,63000.0,3780.0,73914.0,1.0,2016,11,Barking,546096,184534,0.105303,51.5408,81ebc553-e9cb-423e-bbed-97e4540266c2,20200872.8770294,22085.4279735662,"POLYGON ((548723.8941 181852.6916, 547681.5999 182202.699899999, 545680.9167 181644.933499999, 545680.3791 181644.532099999, 545263.2557 182828.966800001, 543874.6702 183187.502900001, 543523.1017 184859.7609, 545408.801 185159.098099999, 547678.3984 187442.475400001, 548981.1964 186873.7973, 548252.3 185896.497, 549604.1025 185773.202299999, 549988.8995 184978.799699999, 548518.6979 184638.997, 549104.897 183684.100299999, 548723.8941 181852.6916))"
16,E14000540,Barking,0.225,0.013,0.678,2017,lab,Barking and Dagenham,E09000002,28553.0,32093.0,25.0,210711.0,66000.0,3780.0,74510.0,1.0,2017,11,Barking,546096,184534,0.105303,51.5408,81ebc553-e9cb-423e-bbed-97e4540266c2,20200872.8770294,22085.4279735662,"POLYGON ((548723.8941 181852.6916, 547681.5999 182202.699899999, 545680.9167 181644.933499999, 545680.3791 181644.532099999, 545263.2557 182828.966800001, 543874.6702 183187.502900001, 543523.1017 184859.7609, 545408.801 185159.098099999, 547678.3984 187442.475400001, 548981.1964 186873.7973, 548252.3 185896.497, 549604.1025 185773.202299999, 549988.8995 184978.799699999, 548518.6979 184638.997, 549104.897 183684.100299999, 548723.8941 181852.6916))"
17,E14000540,Barking,0.265,0.033,0.612,2019,lab,Barking and Dagenham,E09000002,29995.0,32671.0,24.0,211998.0,66000.0,3780.0,74923.0,1.0,2018,11,Barking,546096,184534,0.105303,51.5408,81ebc553-e9cb-423e-bbed-97e4540266c2,20200872.8770294,22085.4279735662,"POLYGON ((548723.8941 181852.6916, 547681.5999 182202.699899999, 545680.9167 181644.933499999, 545680.3791 181644.532099999, 545263.2557 182828.966800001, 543874.6702 183187.502900001, 543523.1017 184859.7609, 545408.801 185159.098099999, 547678.3984 187442.475400001, 548981.1964 186873.7973, 548252.3 185896.497, 549604.1025 185773.202299999, 549988.8995 184978.799699999, 548518.6979 184638.997, 549104.897 183684.100299999, 548723.8941 181852.6916))"
18,E14000540,Barking,0.265,0.033,0.612,2019 Predicted,lab,Barking and Dagenham,E09000002,29995.0,32671.0,24.0,211998.0,66000.0,3780.0,74923.0,1.0,2018,11,Barking,546096,184534,0.105303,51.5408,81ebc553-e9cb-423e-bbed-97e4540266c2,20200872.8770294,22085.4279735662,"POLYGON ((548723.8941 181852.6916, 547681.5999 182202.699899999, 545680.9167 181644.933499999, 545680.3791 181644.532099999, 545263.2557 182828.966800001, 543874.6702 183187.502900001, 543523.1017 184859.7609, 545408.801 185159.098099999, 547678.3984 187442.475400001, 548981.1964 186873.7973, 548252.3 185896.497, 549604.1025 185773.202299999, 549988.8995 184978.799699999, 548518.6979 184638.997, 549104.897 183684.100299999, 548723.8941 181852.6916))"
19,E14000549,Battersea,0.4,0.146,0.404,2005,lab,Wandsworth,E09000032,22054.0,25861.0,8.0,271742.0,124000.0,3522.0,120744.0,1.0,2001,20,Battersea,527494,175640,-0.16598,51.46537,494b87ef-e365-4eb9-b60d-9d04f194c914,11207394.8182068,17808.6290711021,"POLYGON ((528637.1711 175213.9396, 529114.6143 173061.4737, 528232.5001 174031.0035, 527630.8003 173607.8046, 527042.8037 174958.098099999, 525760.4989 174242.502900001, 524802.802 174902.704, 525470.0958 175427.011, 526900.898 177328.2996, 528564.1539 177799.6646, 529972.1587 177985.095799999, 528637.1711 175213.9396))"
20,E14000549,Battersea,0.4,0.146,0.404,2005,lab,Wandsworth,E09000032,23720.0,27665.0,10.0,274917.0,127000.0,3522.0,121620.0,1.0,2002,20,Battersea,527494,175640,-0.16598,51.46537,494b87ef-e365-4eb9-b60d-9d04f194c914,11207394.8182068,17808.6290711021,"POLYGON ((528637.1711 175213.9396, 529114.6143 173061.4737, 528232.5001 174031.0035, 527630.8003 173607.8046, 527042.8037 174958.098099999, 525760.4989 174242.502900001, 524802.802 174902.704, 525470.0958 175427.011, 526900.898 177328.2996, 528564.1539 177799.6646, 529972.1587 177985.095799999, 528637.1711 175213.9396))"
21,E14000549,Battersea,0.4,0.146,0.404,2005,lab,Wandsworth,E09000032,24299.0,29446.0,18.0,276828.0,127000.0,3522.0,122821.0,1.0,2003,20,Battersea,527494,175640,-0.16598,51.46537,494b87ef-e365-4eb9-b60d-9d04f194c914,11207394.8182068,17808.6290711021,"POLYGON ((528637.1711 175213.9396, 529114.6143 173061.4737, 528232.5001 174031.0035, 527630.8003 173607.8046, 527042.8037 174958.098099999, 525760.4989 174242.502900001, 524802.802 174902.704, 525470.0958 175427.011, 526900.898 177328.2996, 528564.1539 177799.6646, 529972.1587 177985.095799999, 528637.1711 175213.9396))"
22,E14000549,Battersea,0.4,0.146,0.404,2005,lab,Wandsworth,E09000032,26137.0,30740.0,17.0,278615.0,127000.0,3522.0,124138.0,1.0,2004,20,Battersea,527494,175640,-0.16598,51.46537,494b87ef-e365-4eb9-b60d-9d04f194c914,11207394.8182068,17808.6290711021,"POLYGON ((528637.1711 175213.9396, 529114.6143 173061.4737, 528232.5001 174031.0035, 527630.8003 173607.8046, 527042.8037 174958.098099999, 525760.4989 174242.502900001, 524802.802 174902.704, 525470.0958 175427.011, 526900.898 177328.2996, 528564.1539 177799.6646, 529972.1587 177985.095799999, 528637.1711 175213.9396))"
23,E14000549,Battersea,0.4,0.146,0.404,2005,lab,Wandsworth,E09000032,26549.0,31455.0,21.0,283229.0,124000.0,3522.0,125880.0,1.0,2005,20,Battersea,527494,175640,-0.16598,51.46537,494b87ef-e365-4eb9-b60d-9d04f194c914,11207394.8182068,17808.6290711021,"POLYGON ((528637.1711 175213.9396, 529114.6143 173061.4737, 528232.5001 174031.0035, 527630.8003 173607.8046, 527042.8037 174958.098099999, 525760.4989 174242.502900001, 524802.802 174902.704, 525470.0958 175427.011, 526900.898 177328.2996, 528564.1539 177799.6646, 529972.1587 177985.095799999, 528637.1711 175213.9396))"
